GRI Standard,Disclosure,Page No.,Omission
GRI 101: Foundation 2016 (GRI 101 doesn’t include any disclosures),,,
General disclosures,,,
Organizational Profile,,,
GRI 102: General,102-1 Name of the organization,1,
Disclosures 2016,"102-2 Activities, brands, products and services",77,
102-3 Location of headquarters,328,,
102-4 Location of operations,77,,
102-5 Ownership and legal form,1,,
102-6 Markets served,77,,
102-7 Scale of the organization,1,,
102-8 Information on employees and other workers,84,,
102-9 Supply Chain,85,,
102-10 Significant changes to the organization and its supply chain,328,,
102-11 Precautionary principle or approach,128,,
102-12 External initiatives,80,,
102-13 Membership of associations,329,,
Strategy,102-14 Statement from senior decision maker,7,
Ethics and Integrity,"102-16 Values, principles, standards, and norms of behavior",133,
