Investments carried at fair value through profit or loss,"Asat March 31,2020","Asat March31,2019"
Investments carried at fair value through profit or loss,,
Mutual fund units (quoted),"1,692","3,745"
Mutual fund units (unquoted),"1,692",63
Investments carried at fair value through OCl,"1,692",
Government bonds and securities (quoted),"24,290 132","23,566 1,206"
Corporate bonds (quoted),"24,290 132","23,566 1,206"
Investments carried at amortised cost,"24,290 132","23,566 1,206"
Certificate of deposits (quoted),26,490 21
,26,490 21
Corporate bonds (quoted),26,490 21
