"As at March 31, 2020","As at March 31, 2019"
Domestic plans Funded,"1,004,684"
Domestic plans Unfunded,"-,20"
Foreign plans Funded,"137,101"
Foreign plans Unfunded,"-,-"
Total,"1,141,785"
Domestic plans Funded,"17,20"
Domestic plans Unfunded,"-,-"
Foreign plans Funded,"-,67"
Foreign plans Unfunded,"-,-"
Total,"17,87"
Domestic plans Funded,"1,695,1,150"
Domestic plans Unfunded,"-,-"
Foreign plans Funded,"-,-"
Foreign plans Unfunded,"-,-"
Total,"1,695,1,150"
Domestic plans Funded,"852,760"
Domestic plans Unfunded,"-,-"
Foreign plans Funded,"275,32"
Foreign plans Unfunded,"-,-"
Total,"1,127,792"
Domestic plans Funded,"-,6"
Domestic plans Unfunded,"-,-"
Foreign plans Funded,"6,16"
Foreign plans Unfunded,"-,-"
Total,"6,22"
Domestic plans Funded,"75,52"
Domestic plans Unfunded,"-,-"
Foreign plans Funded,"209,316"
Foreign plans Unfunded,"-,-"
Total,"284,368"
Domestic plans Funded,"3,643,2,672"
Domestic plans Unfunded,"-,-"
Foreign plans Funded,"627,532"
Foreign plans Unfunded,"-,-"
Total,"4,270,3,204"
