Opening balance,Recognised in profit and loss,Recognised in / reclassified from other comprehensive income,Exchange difference,Closing balance
"Deferred tax assets / (liabilities) in relation to Property, plant and equipment and intangible assets",43,50,,"2,95"
Provision for employee benefits,395,128,8,-531
Cash flow hedges,10,-,-22,-12
"Receivables, financial assets at amortised cost",301,42,,"-3,340"
MAT credit entitlement,"2,217","(1,047)",,"-1,170"
Branch profit tax,(400),101,,-299
Undistributed earnings of subsidiaries,(605),31,,-574
Unrealised gain on securities carried at fair value through profit or loss / other comprehensive income,(2),,-149,"2,-149"
Lease liabilities,85,8,,"1,94"
Others,235,188,,"-5,418"
Total deferred tax assets / (liabilities),"2,279",(499),-163,"-3,1614"
