Profit before tax,(crore),(crore)
Profit before tax,"Yearended March 31,2020",Year ended
Profit before tax,"42,248","March 31,2019 41,563"
Profit before tax,Indian statutory income tax rate 34.94%,34.94%
Profit before tax,"14,764",
Profit before tax,Expected income tax expense Tax effect of adjustments to reconcile,"14,524"
Profit before tax,expected income tax expense to reported,
Profit before tax,,
Tax holidays,"(4,879)","(4,829)"
Income exempt from tax,(285),(151)
Undistributed earnings in branches and,428,605
subsidiaries,,
Tax on income at different rates,152,674
Tax pertaining to prior years,(828),(630)
Others (net),449,(192)
Total income tax expense,"9,801","10,001"
