"As at March 31,2019 Deferred tax assets /(liabilities) in relation to Property, plant and equipment and Intangible",Assets,Liabilities,Net
"As at March 31,2019 Deferred tax assets /(liabilities) in relation to Property, plant and equipment and Intangible",137,40,97
assets,368,,368
Provision for employee benefits Cash flow hedges,(12),-,(12)
"Receivables,financial assetsat amortised cost",284,,284
MAT credit entitlement,"1,157",，,"1,157"
Branch profit tax,-,- 299,(299)
Unrealised gain on securities carried at fair value through profit or loss/other,(149),,(149)
comprehensive income,,,
Lease liabilities,88,,88
Others,224,,224
Total deferred taxassets/(liabilities),"2,097",339,"1,758"
