Note,"As at March 31, 2020","As at March 31, 2019"
Liabilities,,
Non-current liabilities,,
Financial liabilities,,
Lease liabilities,,"6,906 44"
Other financial liabilities,8(g),291 287
Unearned and deferred revenue,,697 844
Employee benefit obligations,14,417 330
Deferred tax liabilities (net),17,"779 1,042"
Other liabilities,10(g),- 413
Total non-current liabilities,,"9,090 2,960"
Current liabilities,,
Financial liabilities,,"1,268"
Lease liabilities,"6,740",
Trade payables,8(g),"6,292"
Other financial liabilities,8(g),"6,100 4,903"
Unearned and deferred revenue,10(f),"2,915 2,392"
Provisions,10(f),293 239
Employee benefit obligations,,"2,749 2,356"
Income tax liabilities(net),10(g),"3,712 2,667"
Other liabilities,10(g),"3,283"
Total current liabilities,,"27,060 22,084"
TOTAL EQUITY AND LIABILITIES,120,"899 114,943"
