Note,As at March 31,2020,As at March 31,2019
Non-current assets,Property, plant and equipment,10(a),"10,941,10,411"
Non-current assets,Capital work-in-progress,906,963,
Non-current assets,Right-of-use assets,9,7,"994,-"
Non-current assets,Goodwill,10(b),1,"710,1,700"
Non-current assets,Other intangible assets,10(c),283,179
Non-current assets,Financial assets,Investments,8(a),"216,239"
Non-current assets,Financial assets,Trade receivables,8(b),"74,95"
Non-current assets,Financial assets,Unbilled receivables,8(c),"324,391"
Non-current assets,Financial assets,Loans receivables,8(e),"29,60"
Non-current assets,Financial assets,Other financial assets,8(f),"1,184,738"
Non-current assets,Income tax assets (net),2,462,"4,017"
Non-current assets,Deferred tax assets (net),17,2,"828,2,656"
Non-current assets,Other assets,10(d),1,"711,1,363"
Total non-current assets,30,662,22,812
