"Year ended March,",,,"31,",2020
Tata Sons,,,,
Private Limited Subsidiaries of the,,,,
Company Subsidiaries of Tata,,,,
Sons Private Limited Associates / joint ventures of Tata,,,,
Sons Private Limited and their,subsidiaries,Other,,related parties Total
"Revenue 31 16,998",409,"1,859",-,"19,297"
"Dividend income - 3,979",-,-,-,"3,979"
Rent income*,,,,
Other income,,39,,
"Purchases of goods and services (including reimbursements) 1 8,943",550,448,-,"9,942"
Brand equity contribution Facility expenses,100,28,2,1
Lease rental,2,68,26,
"Bad debts and advances written off, allowance for doubtful trade receivables and advances (net) Contribution and advance to post employment benefit plans",1,,,1
"Purchase of property, plant and equipment",,219,4,110
Loans and advances given,-,3,85,30
Loans and advances recovered Dividend paid,"22,971",9,,
Guarantees given Cost recovery,,2,,
