Freehold land,Buildings,Leasehold improvements,Plant and equipment,Computer equipment,Vehicles,Office equipment,Electrical installations,Furniture and fixtures,Total
345,"7,429","2,403",552,"7,687",39,"2,377","1,935","1,755","24,522"
,,(106),,(130),,(5),,(2),(243)
345,"7,429","2,297",552,"7,557",39,"2,372","1,935","1,753","24,279"
,290,302,134,"1,620",5,223,119,165,"2,858"
,(7),(185),■,(379),(2),(90),(19),(51),(733)
2,7,13,(5),(4),·,4,4,19,40
347,"7,719","2,427",681,"8,794",42,"2,509","2,039","1,886","26,444"
,"(2,187)","(1,396)",(172),"(5,906)",(31),"(1,921)","(1,132)","(1,366)","(14,111)"
,,60,,129,,4,,1,194
,"(2,187)","(1,336)",(172),"(5,777)",(31),"(1,917)","(1,132)","(1,365)","(13,917)"
,(379),(191),(60),(998),(5),(232),(147),(160),"(2,172)"
,6,99,·,357,2,85,18,51,618
,(3),(13),4,4,,（4),(5),(15),(32)
,"(2,563)","(1,441)",(228),"(6,414)",(34),"(2,068)","(1,266)","(1,489)","(15,503)"
347,"5,156",986,453,"2,380",8,441,773,397,"10,941"
