Year ended March,,,"31,",2020
Tata Sons,,,,
Private Limited Subsidiaries of the,,,,
Company Subsidiaries of Tata,,,,
Sons Private Limited Associates / joint ventures of Tata,,,,
Sons Private Limited and their,,,,
subsidiaries Other,,,,
related parties Total,,,,
"Revenue 31 16,998",409,"1,859",-,"19,297"
"Dividend income - 3,979",-,-,-,"3,979"
Rent income* - -,-,-,-,-
Other income - -,39,-,-,39
Purchases of goods and services (including,,,,
"reimbursements) 1 8,943",550,448,-,"9,942"
Brand equity contribution 100 -,-,-,-,100
Facility expenses - 28,2,1,-,31
Lease rental 2 -,68,26,-,96
"Bad debts and advances written off, allowance for doubtful",,,,
trade receivables and advances (net) 1 -,-,-,1,2
Contribution and advance to post employment benefit,,,,
plans - -,-,-,"2,684","2,684"
"Purchase of property, plant and equipment - -",219,110,-,329
Loans and advances given - 1,4,85,-,90
Loans and advances recovered - 7,3,30,-,40
"Dividend paid 22,971 -",9,-,-,"22,980"
Guarantees given - 2,-,-,-,2
"Cost recovery - 2,998",-,-,-,"2,998"
