Fixed Price Contracts,Fixed Price Contracts,"Aform of services contracts where the vendor takesa turnkey responsibility fordeliveringa solution for acertainpriceandwithina mutuallyagreed timeframe.Thecustomer is billed on completionof key project milestonesand related deliverables.Thisarrangement gives the vendorconsiderable flexibility in the staffingand execution ofthe project. On the other hand, italso means bearing theproject risk.",,
Fixed Price Contracts,Fixed Price Contracts,"Aform of services contracts where the vendor takesa turnkey responsibility fordeliveringa solution for acertainpriceandwithina mutuallyagreed timeframe.Thecustomer is billed on completionof key project milestonesand related deliverables.Thisarrangement gives the vendorconsiderable flexibility in the staffingand execution ofthe project. On the other hand, italso means bearing theproject risk.",,certain
Forward Contract,Forward Contract,"A hedging instrument wherein two partiesagree to buy orsell a particular asset (such as stock or currency) at a pre-determined rate (or Forward rate) ona specific future date.For e.g.TCS enters into a forward contract to sell USD1million after 3 months @ 72. Irrespective of the prevailingUSD-INR spot rate, TCS will be obliged to sell USD1 million@ 72 at the end of 3 months.",,
Framework,Framework,"A kind of intellectual property, consisting of software whichprovidesgeneric functionality foracertain businessusecase,and which is customized fora specific customer'sneeds with additional code. Use of such pre-built codereduces time to marketand results inmorestable,reliablesolutions.",,
Free Cash Flow,Free Cash Flow,"Represents the cash a company generates through itsoperations, less the capital expenditure.Free cash flow= Cash flow from operatingactivities -Capital expenditure",,
Furlough,Furlough,"A temporary cessation of work without pay for theemployees,usually implemented by organizations facingunder difficult economic conditions,and in lieu of laying offemployees.",,
Gamification,Gamification,The process of adding games or game-like elements to anyactivity in order to enrich experiences and encourage user participation.,,
GDPR,GDPR,"Acronym for General Data Protection Regulation, aEuropean Union regulation for data protection and privacy.",,
Hybrid Cloud,Hybrid Cloud,"An enterprise IT infrastructure model that combines privateclouds, public clouds and on premise data centers, to meetthe compute and storage needs of the business.",,
Innovation Days,Innovation Days,Focused workshops with a TCS customer whereresearchersand business leaders from both organizationsparticipate to explore emerging technologies for specificcustomer problems.,,
Innovation Forum,Innovation Forum,"TCS'thought leadership event that is held in NorthAmerica, UK, Latin America and Japan. It brings togetherresearchers from academia,innovators from the start-upecosystem, technology watchers,futurists and customersto brainstorm around emerging technologies.",,
Inorganic Growth,Inorganic Growth,"Growth in revenue due to mergers,acquisitions ortakeovers, rather than due to an increase in the company'sown business activity.",,
