Reserves and surplus,Reserves and surplus,Reserves and surplus,Reserves and surplus,Reserves and surplus,Reserves and surplus,Items of other comprehensive income,Items of other comprehensive income,Items of other comprehensive income,Items of other comprehensive income,Equity attributable to shareholders of the Company,Non- controlling interests,Total equity
Capital reserve,Capital redemption reserve,General reserve,Special Economic Zone re-investment reserve,Retained Statutory earnings,reserve,Investment revaluation reserve Intrinsic,Cash flow hedging reserve Time,Cash flow hedging reserve Time,Foreign currency translation,Equity attributable to shareholders of the Company,Non- controlling interests,Total equity
75,431,27,994,"85,520",348,192,value 134,value （30),"reserve 1,380","89,071",453,"89,524"
■,■,·,·,(357),·,·,·,·,·,(357),(2),(359)
75,431,27,994,"85,163",348,192,134,(30),"1,380","88,714",451,"89,165"
,·,·,,"32,340",·,·,·,·,·,"32,340",107,"32,447"
,,,,(339),·,604,(89),(38),286,424,40,464
,,·,,"32,001",·,604,(89),(38),286,"32,764",147,"32,911"
,,,,"(37,634)",=,·,·,·,·,"(37,634)",(68),"(37,702)"
,,,=,(93),■,■,,,·,(93),93,
,,,"2,947","(2,947)",=,■,,,,·,·,
,,,"(2,347)","2,347",■,■,,,,·,·,
,,·,,(27),27,■,·,,,·,■,
75,431,27,"1,594","78,810",375,796,45,(68),"1,666","83,751",623,"84,374"
