As at,As at,Mar 31, 2020,Mar 31, 2019
Considered good,Contract assets,"4,292","3,238",,
Considered good,Prepaid expenses,"1,498",614,,
Considered good,Prepaid rent,15,50,,
Considered good,Contract fulfillment costs,621,537,,
Considered good,Advance to suppliers,136,139,,
Considered good,Advance to related parties,11,2,,
Considered good,Indirect taxes recoverable,"1,374","1,170",,
Considered good,Other advances,130,142,,
Considered good,Others,129,136,,
Considered doubtful,Advance to suppliers,3,3,,
Considered doubtful,Indirect taxes recoverable,2,4,,
Considered doubtful,Other advances,3,4,,
Considered doubtful,Allowance on doubtful assets,8,11,,
Considered good,Advance to related parties,"8,206","6,028",,
Considered good,The Titan Company Limited,3,1,,
Considered good,Tata AIG General Insurance Company Limited,-,1,,
Considered good,Tata AIA Life Insurance Company Limited,1,-,,
Considered good,Tata Sons Private Limited,7,-,,
