Assets,Liabilities,Net
"As at March 31,2019 Deferred tax assets/(liabilities) in relation to Property, plant and equipment and intangible",212,117
assets Provision for employee benefits,532,1
Cash flow hedges,-12,-
"Receivables,financial assetsat amortised cost",339,(1)
MAT credit entitlement,1170,-
Branch profit tax Undistributed earnings of subsidiaries,-,-299
"Unrealised gain on securities carried at,， fair value through profit or loss/other comprehensive income",,-574
Lease liabilities,94,-
Others,470,52
Total deferred taxassets/(liabilities),2656,1042
