Secured Loans excluding deposits,Unsecured Loans,Deposits,Total Indebtedness
Note1,,,Total Indebtedness
Indebtedness at the beginning of the financial year,,,"Indebtedness at the beginning of the financial year,Indebtedness at the beginning of the financial year"
i) Principal Amount,,,"D Principal Amount,*,,4,4"
ii) Interest due but not paid,,,"-,,,-"
iii) Interest accrued but not due,,,"-,,,-"
Total (i+ii+iii),,,",,,4,4"
Change in Indebtedness during the financial year,,,"Change in Indebtedness during the financial year,Change in Indebtedness during the financial year"
Addition,,,"""14,719"",,,""14,719"""
Reduction,,,"""(14,719）"",,,""（14,719）"""
Net Change,,,"-,,,"
Indebtedness at the end of the financial year,,,"Indebtedness at the end of the financial year,Indebtedness at the end of the financial year"
i) Principal Amount,,,"-,,4,4"
ii) Interest due but not paid,,,"-,,,,"
iii) Interest accrued but not due,,,",,,="
Total (i+ii+iii),,,",,,4,4"
