Name of the Committee,Audit Committee,Nomination and Remuneration Committee,Stakeholders' Relationship Committee,Corporate Social Responsibility Committee,Risk Management Committee
No. of meetings held,7,3,2,4,4
Date of meetings,"April 12, 2019; June 13, 2019; July 9, 2019; August 13, 2019; October 10, 2019; January 17, 2020 and February 13, 2020","April 12, 2019; January 17, 2020 and February 13, 2020","July 9, 2019 and January 16, 2020","April 11, 2019; July 16, 2019; October 25, 2019 and February 11, 2020 @","April 4, 2019; June 13, 2019; October 9, 2019 and January 16, 2020"
No. of meetings attended,N Chandrasekaran,-,3,4,-
,,Rajesh Gopinathan*,2,1,4
,,Aman Mehta**,1,-,
,,Dr Ron Sommer***,1,-,
,,O P Bhatt^,7,3,4
,,N Ganapathy Subramaniam^^,-,-,3
,,Aarthi Subramanian^^^,7,2,-
,,Dr Pradeep Kumar Khosla,7,-,2
,,Hanne Sorensen#,6,2,-
,,Keki Mistry##,6,-,2
,,Don Callahan###,6,-,-
