Sr.No.,Name of the Shareholder,Date,Reason,"Shareholding at the beginning of the yearApril 1, 2019","Shareholding at the beginning of the yearApril 1, 2019","Cumulative shareholding at the end of the yearMarch 31, 2020","Cumulative shareholding at the end of the yearMarch 31, 2020"
Sr.No.,Name of the Shareholder,Date,Reason,No. of shares,% of total shares of theCompany,No. of shares,% of total shares of theCompany
Directors,Directors,Directors,Directors,Directors,Directors,,
1.,N Chandrasekaran,01-Apr-2019,,177.056,,"177,056",
1.,N Chandrasekaran,31-Mar-2020,,,,"177,056",
2.,Aarthi Subramanian,01-Apr-2019,,5.600,,5.600,
2.,Aarthi Subramanian,31-Mar-2020,,,,"5,600",
3,Rajesh Gopinathan,01-Apr-2019,,2.260,,2.260,
3,Rajesh Gopinathan,14-Oct-2019,Purchase ofShares,500,,2.760,
3,Rajesh Gopinathan,31-Mar-2020,,,,2.760,
4.,N Ganapathy Subramaniam,01-Apr-2019,,"197,760",,"197,760",
4.,N Ganapathy Subramaniam,31-Mar-2020,,,,"197,760",
5.,Keki Mistry,01-Apr-2019,,4078,,4078,
5.,Keki Mistry,31-Mar-2020,,,,4078,
Key,Key Managerial Personnel,,,,,,
1.,Ramakrishnan V,01-Apr-2019,,2.000,,2.000,
1.,Ramakrishnan V,31-Mar-2020,,,,2.000,
2.,Rajendra Moholkar,01-Apr-2019,,364,,364,
2.,Rajendra Moholkar,31-Mar-2020,,,,364,
