Sr.No.,Particulars of Remuneration,Name of MD/WTD/Manager,Rajesh Gopinathan Chief Executive Officer and Managing Director,N Ganapathy Subramaniam Chief Operating Officer and Executive Director,Total Amount
1.,Gross salary,,,,
1.(a),"Salary as per provisions contained in Section 17(1) of the Income-tax Act, 1961",135.90,129.18,265.08,
1.(b),"Value of perquisites u/s 17(2) of the Income-tax Act, 1961",129.22,16.00,145.22,
1.(c),"Profits in lieu of salary under Section 17(3) of the Income-tax Act, 1961",,-,-,
2.,Stock Option,,,,
3.,Sweat Equity,,,,
4.,Commission,"1,000.00",700.00,"1,700.00",
4.,as % of profit,0.02,0.02,0.04,
5.,"Others, Allowances",72.82,166.51,239.33,
Total (A),,"1,337.94","1,011.69","2,349.63",
"Ceiling as per the Act (@ 10% of profits calculated under Section 198 of the Companies Act, 2013)",,,,"420,701.94",
