Name of the entity,Country of incorporation,"%of voting power as at March 31, 2020","%of voting power as at March 31, 2019","Net assets, i.e.total assets minus total liabilities","Net assets, i.e.total assets minus total liabilities",Share in profit or loss,Share in profit or loss,Share in other comprehensive income,Share in other comprehensive income,Share in total comprehensive income,Share in total comprehensive income
Name of the entity,Country of incorporation,"%of voting power as at March 31, 2020","%of voting power as at March 31, 2019",As%of consolidated net assets,Amount ( crore),As %of consolidated profit or loss,Amount ( crore),As %of consolidated other comprehensive,Amount ( crore),As % of total comprehensive income,Amount ( crore)
Tata Consultancy Services Limited,India,,,81.97,"74,368",89.63,"33,260",income 124.29,174,89.76,"33,434"
Subsidiaries (held directly),,,,,,,,,,,
Indian APTOnline Limited,India,89.00,89.00,0.11,103,0.08,31,,,0.08,31
MP Online Limited,India,89.00,89.00,0.11,99,0.05,17,,,0.05,17
C-Edge Technologies Limited,India,51.00,51.00,0.27,246,0.22,81,,,0.22,81
MahaOnline Limited,India,74.00,74.00,0.09,79,0.06,21,,,0.06,21
TCS e-Serve International Limited,India,100.00,100.00,0.02,19,(0.34),(125),(2.14),(3),(0.34),(128)
TCS Foundation,India,100.00,100.00,1.10,995,0.76,282,,,0.76,282
Foreign,,,,,,,,,,,
Diligenta Limited,UK,100.00,100.00,1.20,"1,091",0.77,284,10.00,14,0.80,298
Tata Consultancy Services Canada Inc.,Canada,100.00,100.00,0.70,631,1.33,494,-,,1.33,494
Tata America International Corporation,USA,100.00,100.00,1.72,"1,557",2.34,868,(14.29),(20),2.28,848
Tata Consultancy Services Asia Pacific Pte Ltd.,Singapore,100.00,100.00,0.75,676,0.58,217,-,-,0.58,217
Tata Consultancy Services Belgium,Belgium,100.00,100.00,0.37,333,0.24,90,-,-,0.24,90
Tata Consultancy Services Deutschland GmbH,Germany,100.00,100.00,0.52,470,0.51,188,0.71,1,0.51,189
Tata Consultancy Services Netherlands BV,Netherlands,100.00,100.00,3.03,2.750,(1.15),(425),-,,(1.14),(425)
Tata Consultancy Services Sverige AB,Sweden,100.00,100.00,0.59,539,0.21,77,·,,0.21,77
TCS FNS Pty Limited,Australia,100.00,100.00,0.13,121,0.20,73,,,0.20,73
