Category,Number ofequity sharesheld,Percentage ofholding
Promoters,"2,702,450,947",72.0
Other Entities of the Promoter Group,"1,091,053",·
Mutual Funds and UTI,"95,698,803",2.6
"Banks, Financial Institutions,States andCentral Government","4,270,227",0.1
Insurance Companies,"200,941,420",5.4
Foreign Institutional Investors andForeign Portfolio Investors- Corporate,"590,621,054",15.7
NRI's /OCB's/Foreign Nationals,"5,307,647",0.1
Corporate Bodies / Trust,"23,696,580",0.6
Indian Public and Others,"126,184,715",3.4
Alternate Investment Fund,"1,820,360",0.1
IEPF account,"301,900",-
GRAND TOTAL,"3,752,384,706",100.0
