(crore),(crore),(crore)
,"Asat March31,2020","As at March31,2019"
Considered good,,
Contract assets,"4,292","3,238"
Prepaid expenses,"1,498",614
Prepaid rent,15,50
Contract fulfillment costs,621,537
Advance to suppliers,136,139
Advance to related parties,11,2
Indirect taxes recoverable,"1,374","1,170"
Other advances,130,142
Others,129,136
Considered doubtful,,
Advance to suppliers,3,3
Indirect taxes recoverable,2,4
Other advances,3,4
Less: Allowance on doubtful assets,(8),(11)
,"8,206","6,028"
"Advance to related parties,",,
considered good comprise:,,
The Titan Company Limited,3,
Tata AlG General Insurance Company,,
Limited,,
Tata AlA Life Insurance Company,,
Limited,,
Tata Sons Private Limited,,
