Company Name,Effective Date,Reporting Date,Currency,Shares Outstanding
Sr. No.\tName of the subsidiary company\tDate of becoming subsidiary\tStart date of accounting period of subsidiary\tEnd date of accounting period of subsidiary\tReporting currency\tExchange rate\tShare capital\tReserves and surplus\tTotal Assets\tTotal Liabilities\tInvestments\tTurnover\tProfit before tax\tProvision for tax\tProfit after tax\tProposed dividend\t% of shareholding\tCountry,,,,
1\tAPTOline Limited\tAugust 9,2004\tApril 1,2019\tMarch 31,2020\tINR\t1000000\t2\t101\t164\t61\t26\t180\t42\t11\t31\t-\t89%\tIndia,
2\tMP Online Limited\tSeptember 8,2006\tApril 1,2019\tMarch 31,2020\tINR\t1000000\t1\t98\t137\t38\t15\t70\t24\t7\t17\t-\t89%\tIndia,
3\tC-Edge Technologies Limited\tJanuary 19,2006\tApril 1,2019\tMarch 31,2020\tINR\t1000000\t10\t236\t331\t85\t-\t294\t108\t27\t81\t-\t51%\tIndia,
4\tMahaOnline Limited\tSeptember 23,2010\tApril 1,2019\tMarch 31,2020\tINR\t1000000\t3\t76\t161\t82\t38\t88\t29\t7\t22\t-\t74%\tIndia,
C-Edge technologies Limited,"January 19, 2006","April 1, 2019","March 31, 2020","INR,10000000"
MahaOnline Limited,"September 23, 2016","April 1, 2019","March 31, 2020","INR,10000000"
"CMC Americas, Inc.","August 9, 2004","April 1, 2019","March 31, 2020","USD,75435000"
TCS e-Serve International Limited,"December 31, 2008","April 1, 2019","March 31, 2020","INR,10000000"
"TCS e-Serve America, Inc.","February 10, 2009","January 1, 2019","December 31, 2019","USD,75435000"
Diligenta Limited,"August 23, 2005","January 1, 2019","December 31, 2019","GBP,93077178"
Tata Consultancy Services Canada Inc.,"October 1, 2009","April 1, 2019","March 31, 2020","CAD,53239533"
Tata America International Corporation,"August 9, 2004","April 1, 2019","March 31, 2020","USD,75435000"
