Note,"Year ended March 31,2020","Year ended March 31,2019"
Revenue,10,"131,306"
Other income,11,"8,082"
TOTAL INCOME,,"139,388"
Expenses,Expenses,Expenses
Employee benefit expenses,12,"64,906"
Cost of equipment and software licences,13(a),"1,596"
Depreciation and amortisation expense,,"2,701"
Other expenses,13(b),"27,451"
Finance costs,14,743
TOTAL EXPENSES,,"97,397"
PROFIT BEFORE TAX,,"41,991"
Tax expense,Tax expense,Tax expense
Current tax,15,"9,012"
Deferred tax,15,"-281,697"
TOTAL TAX EXPENSE,,"8,731"
PROFIT FOR THE YEAR,,"33,260"
OTHER COMPREHENSIVE INCOME (OCI),OTHER COMPREHENSIVE INCOME (OCI),OTHER COMPREHENSIVE INCOME (OCI)
Items that will not be reclassified subsequently to profit or loss,,
Remeasurement of defined employee benefit plans,,-409
Net change in fair values of investments in equity shares carried at fair value through OCI,,-
Income tax on items that will not be reclassified subsequently to profit or loss,,86
