,Opening Recognised Recognised in,Opening Recognised Recognised in,Opening Recognised Recognised in,(crore) Closing
,balance,in profit and loss,/reclassified from other comprehensive income,balance
"Deferred tax assets /(liabilities)in relation to Property, plant and equipment and",97,65,,162
intangible assets Provision for employee benefits,368,100,,468
Cash flow hedges,(12),·,19,7
"Receivables, financial assetsat",284,43,,327
amortised cost MAT credit entitlement,"1,157",(108),,"1,049"
Branch profit tax,(299),15,,(284)
Unrealised gain on securities carried at fair value through profit or loss /,(149),■,(334),(483)
other comprehensive income Lease liabilities*,,,,
Others,235,73,,308
,225,93,,318
Total deferred taxassets/ (liabilities),"1,905",281,(315),"1,872"
