"Year ended March31,2020","Year ended March31,2020","Year ended March31,2020","Year ended March31,2020","Year ended March31,2020","Year ended March31,2019","Year ended March31,2019","Year ended March31,2019","Year ended March31,2019","Year ended March31,2019"
Domestic plans Funded,Domestic plans Unfunded,Foreign plans Funded,Foreign plans Unfunded,Total,Domestic plans Funded,Domestic plans Unfunded,Foreign plans Funded,Foreign plans Unfunded,Total
"2,672",,532,,"3,204","2,433",,529,,"2,962"
=,,41,,41,,,,,(3)
30,,,,30,,,(3),,
235,,,,,,,,,
766,,9 17,,244 783,193 171,,7,,200 186
■,,9,,9,,,15 9,,
(171),,(10),,(181),- (147),-,(14),,9 (161)
111,,29,,140,22,,(11),,11
"3,643",,627,,"4,270","2,672",,532,,"3,204"
