"Cost as at April 1, 2018",Rights under licensing agreement and software licences,Customer-related intangibles,Total
"Cost as at April 1, 2018",80,89,169
Additions,178,,178
Acquisition through a business combination,-,28,28
Translation exchange difference,-4,-4,-4
"Cost as at March 31, 2019",256,115,371
"Accumulated amortisation as at April 1, 2018",-,89,157
Amortisation for the year,-,4,39
Translation exchange difference,-4,-4,-4
"Accumulated amortisation as at March 31, 2019",102,90,192
"Net carrying amount as at March 31, 2019",154,25,179
