Freehold land,Buildings,Leasehold improvements,Plant and equipment,Computer equipment,Vehicles,Office equipment,Electrical installations,Furniture and fixtures,Total
327,"7,026","1,702",489,"5,695",32,"2,038","1,711","1,308","20,328"
(4),335,212,53,758,6,171,,139,"1,790"
二,(13),(94),(3),(180),(2),(45),(29),(27),(393)
323,"7,348","1,820",539,"6,273",36,"2,164",,"1,420","21,725"
,,,,,,,,,
"(1,792)",(970),(116),"(4,526)",(26),"(1,572)",(910),(986),,"(10,898)"
",368",",134",",52",",626",",4",",213",",142",,(145),"(1,684)"
,10,94,2,177,1,45,23,,379
,,,,,,,,,
"(2,150)","(1,010)",(166),"(4,975)",(29),"(1,740)","(1,029)","(1,104)",,"(12,203)"
323,"5,198",810,373,"1,298",7,424,773,316,9.522
