SM0,Nameof the subsidiary company,Date of becomingsubsidiary,Start date ofaccountingperiod ofsubsidiary,End date ofaccounting period ofsubsidiary,Reportingcurrency,Exchangerate,Sharecapital,Reservesandsurplus,TotalAssets,TotalLiabilities,Investments,Turnover,Profitbeforetax,Provisionfortax,Profitafter tax,Proposeddividend,%ofshareholding,Country
SM0,Nameof the subsidiary company,Date of becomingsubsidiary,Start date ofaccountingperiod ofsubsidiary,End date ofaccounting period ofsubsidiary,Reportingcurrency,Exchangerate,,,,crore,crore,crore,crore,crore,crore,crore,%ofshareholding,Country
1,APTOnline Limited,"August ,2004","April1,2019","March 31,2020",INR,1.000000,2,101,164,61,26,180,42,1,31,,89%,India
2,MP Online Limited,"September 8,2006","April 1,2019","March 31,2020",INR,1.00000,,98,137,38,15,70,24,,17,,89%,India
3,C-Edge Technologies Limited,"January 19,2006","April 1,2019","March 31,2020",INR,1.000000,10,236,331,85,,294,108,27,81,,51%,India
4,MahaOnline Limited,"September 23,2010","April1,2019","March 31,2020",INR,1.00000,3,76,161,82,38,88,29,7,22,,74%,India
5,"CMC Americas, Inc.","August ,2004","April1,2019","March 31,2020",USD,75.435000,12,15,61,34,,113,44,18,26,,100%,U.S.A.
6,TCS e-ServeInterationalLimited,"December 31,2008","April1,2019","March 31,2020",INR,1.000000,10,9,512,493,12,1.231,(141),(15),(126),,100%,India
7,"TCS e-Serve America, Inc.","February10,2009","January 1,2019","December 31,2019",USD,75.435000,,83,177,92,,285,38,12,26,,100%,U.S.A.
8,Diligenta Limted,"August 23,2005","January 1,2019","December 31,2019",GBP,93.071718,9,1.082,2.224,1.133,270,3.666,370,77,293,,100%,U.K.
9,Tata Consultancy Services Canada Inc.,"October1,2009","April 1,2019","March 31,2020",CAD,53.231953,38,593,1.712,"1,081",,5.686,672,180,492,,100%,Canada
10,Tata America International Corporation,"August 9,2004","April1,2019","March 31,2020",USD,75.435000,2,1.55,3.098,1.541,35,3.735,1.268,347,921,,100%,U.S.A.
11,Tata Consultancy Services Asia Pacific Pte Ltd.,"August 9,2004","April1,2019","March 31,2020",USD,75.435000,33,643,1.725,1049,816,2.243,266,32,234,,100%,Singapore
12,"Tata Consultancy Services (China) Co., Ltd.","November 16,2006","January1,2019","December 31,2019",CNY,10.631985,215,(46),286,117,,699,(12),,(12),,93.2%,China
13,Tata ConsultancyServicesJapantd,"July1,2014",Apil1)，201,"March 31,2020",JPY,0.696184,301,"1,059",2.786,"1,426",,5.340,292,93,199,,66%,Japan
14,Tata Consultancy Services Malaysia Sdn Bhd,"August 9,2004",April1]，21,"March 31,2020",MYR,17.552003,4,83,207,120,,438,(9,,（9）,,100%,Malaysia
15,PTTata ConsultancyServices Indonesia,"October 5,2006","April 1,2019","March 31,2020",IDR,0.004609,,26,66,40,,69,17,5,12,,100%,Indonesia
16,Tata Consultancy Services (Philippines) Inc.,"September 19,2008","Apil1,，2019","March 31,2020",PHP,1.485526,(41),205,477,313,,647,15,3,12,,100%,Pilipines
