Model,Size,Avg,AQuA-RAT LogiQA,,,LSAT-AR LSAT-LR 1,LSAT-RC,SAT-en,SAT-en (w/o Psg.),SAT-math
MPT,7B,23.5,27.6,23.0,18.7,21.2,20.8,25.2,32.5,23.6
MPT,30B,33.8 21.2,28.0,28.7,23.9,35.1,37.9,63.1,36.9,27.7
Falcon Falcon,7B 40B,37.0,21.7 18.5,22.3 36.4,16.1 19.6,17.3 40.2,20.4 45.7,26.2 58.7,23.8 58.7,26.4 32.7
LLAMA 1,7B 13B 33B,23.9 33.9 41.7,18.9 20.1 18.9,24.6 34.9,26.1 22.2,19.2 31.6,21.9 39.8,33.0 52.9,32.5 45.1 44.7,22.3 29.5 35.0
,65B,47.6,23.6,37.3 42.1,18.7 23.9,48.0 56.7,59.5 63.6,74.8 83.0,48.1,41.8
,7B,,,,,,,,,
,,29.3,23.2,31.0,23.9,22.4,32.7,43.2,37.4,28.2
,,39.1,,,,,,,,
LLAMA 2,13B,,21.7,38.1,23.0,41.0,54.6,62.1,46.1,27.3
,34B,43.4,19.3,40.7,21.3,47.5,62.1,77.2,49.0,32.7
,70B,54.2,23.2,48.8,25.7,70.2,76.6,86.9,53.4,41.8
