Pretrained,Asian Americans,African Americans,European Americans,Hispanic and Latino Americans
MPT,7B,0.38,0.34,"0.25,0.39"
MPT,30B,0.38,0.28,"0.23,0.33"
Falcon,7B,0.36,0.29,"0.26,0.47"
Falcon,40B,0.36,0.32,"0.29,0.48"
LLAMA 1,7B,0.41,0.32,"0.28,0.46"
LLAMA 1,13B,0.40,0.32,"0.26,0.45"
LLAMA 1,33B,0.39,0.32,"0.26,0.46"
LLAMA 1,65B,0.41,0.34,"0.27,0.44"
LLAMA 2,7B,0.38,0.33,"0.27,0.43"
LLAMA 2,13B,0.42,0.31,"0.28,0.45"
LLAMA 2,34B,0.40,0.34,"0.28,0.42"
LLAMA 2,70B,0.42,0.34,"0.28,0.52"
Fine-tuned,ChatGPT,0.18,0.16,"0.15,0.19"
MPT-instruct,7B,0.38,0.32,"0.29,0.32"
Falcon-instruct,7B,0.40,0.34,"0.30,0.36"
LLAMA 2-CHAT,7B,0.55,0.43,"0.40,0.49"
LLAMA 2-CHAT,13B,0.51,0.40,"0.38,0.49"
LLAMA 2-CHAT,34B,0.46,0.40,"0.35,0.39"
LLAMA 2-CHAT,70B,0.51,0.43,"0.40,0.49"
