Model,Size,0-shot,1-shot,4-shot,5-shot,0-shot,1-shot
MPT,7B,59.5,62.8,62.6,62.7,38.0,37.7
MPT,30B,74.7,74.2,72.4,74.2,40.4,41.1
Falcon,7B,16.4,16.0,16.9,17.5,24.0,18.8
Falcon,40B,72.9,73.1,71.7,71.0,41.2,43.3
LLAMA 1,7B,60.0,62.3,63.3,62.8,38.9,32.0
LLAMA 1,13B,68.9,68.4,66.4,66.7,39.9,36.5
LLAMA 1,33B,75.5,77.0,76.3,75.6,44.1,40.3
LLAMA 1,65B,79.4,80.0,78.3,77.9,41.0,39.8
LLAMA 2,7B,67.2,72.3,72.6,72.5,39.4,39.7
LLAMA 2,13B,72.9,72.1,70.6,71.3,42.7,44.8
LLAMA 2,34B,77.4,78.8,77.5,77.5,42.9,44.4
LLAMA 2,70B,80.7,82.6,81.9,81.9,42.4,49.3
