MPT 0-shot,NaturalQuestions 1-shot,NaturalQuestions 5-shot,NaturalQuestions 64-shot,TriviaQA (Wiki) 0-shot,TriviaQA (Wiki) 1-shot,TriviaQA (Wiki) 5-shot,TriviaQA (Wiki) 64-shot
MPT 7B,11.6,17.8,20.8,22.7,55.7,59.6,"61.2,61.6"
MPT 30B,15.8,23.0,26.6,29.3,68.0,71.3,"73.3,73.6"
Falcon 7B,15.7,18.1,21.0,24.0,52.6,56.8,"64.6,61.1"
Falcon 40B,26.3,29.5,33.5,35.5,74.6,78.6,"79.9,79.6"
LLAMA 1 7B,16.8,18.7,22.0,26.1,63.3,67.4,"70.4,71.0"
LLAMA 1 13B,20.1,23.4,28.1,31.9,70.1,74.4,"77.1,77.9"
LLAMA 1 33B,24.9,28.3,32.9,36.0,78.7,80.7,"83.8,83.6"
LLAMA 1 65B,23.8,31.0,35.0,39.9,81.7,84.5,"85.9,86.0"
LLAMA 2 7B,16.4,22.7,25.7,29.5,65.8,68.9,"72.1,73.7"
LLAMA 2 13B,16.1,28.0,31.2,34.6,73.1,77.2,"79.6,79.4"
LLAMA 2 34B,25.1,30.0,32.8,39.9,81.0,83.3,"84.5,84.6"
LLAMA 2 70B,25.3,33.0,39.5,44.3,82.4,85.0,"87.6,87.5"
