BoolQ,PIQA,SIQA,HellaSwag,WinoGrande,ARC-e,ARC-c,OBQA,CSQA,MMLU
MPT,7B,75.0,80.6,48.5,76.4,68.3,70.2,42.6,"21.3,26.8"
MPT,30B,79.0,81.9,48.9,79.9,71.0,76.5,50.6,"58.2,46.9"
Falcon,7B,67.5,76.7,47.2,74.1,66.3,70.0,42.4,"20.8,26.2"
Falcon,40B,83.1,82.4,50.1,83.6,76.9,79.2,54.5,"70.4,55.4"
LLAMA 1,7B,76.5,79.8,48.9,76.1,70.1,72.8,47.6,"57.2,35.1"
LLAMA 1,13B,78.1,80.1,50.4,79.2,73.0,74.8,52.7,"56.4,46.9"
LLAMA 1,33B,83.1,82.3,50.4,82.8,76.0,80.0,57.8,"58.6,57.8"
LLAMA 1,65B,85.3,82.8,52.3,84.2,77.0,78.9,56.0,"60.2,63.4"
LLAMA 2,7B,77.4,78.8,48.3,77.2,69.2,75.2,45.9,"58.6,45.3"
LLAMA 2,13B,81.7,80.5,50.3,80.7,72.8,77.3,49.4,"57.0,67.3"
LLAMA 2,34B,83.7,81.9,50.9,83.3,76.7,79.4,54.5,"58.2,62.6"
LLAMA 2,70B,85.0,82.8,50.7,85.3,80.2,80.2,57.4,"60.2,68.9"
