Batch,Num. of Comparisons,Avg. # Turns per Dialogue,Avg. # Tokens per Example,Avg. # Tokens in Prompt,Avg. # Tokens in Response
1,"5,561",4.4,547.1,25.2,159.3
2,"17,072",4.0,554.6,22.4,170.7
3,"30,146",3.9,603.3,19.6,195.5
4,"36,206",3.9,652.8,45.3,182.9
5,"49,375",3.7,603.9,46.7,163.1
6,"57,746",4.1,654.5,28.2,198.1
7,"84,388",3.9,662.2,27.5,210.0
8,"95,235",3.6,670.4,32.9,212.1
9,"127,235",3.6,674.9,31.3,214.8
10,"136,729",3.7,723.9,30.5,230.2
11,"136,868",3.8,811.9,32.2,251.1
12,"181,293",3.9,817.0,30.8,250.9
13,"210,881",4.2,905.9,30.3,255.6
14,"249,356",4.3,1008.0,31.6,258.9
Total,"1,418,091",3.9,798.5,31.4,234.1
