,,Left-wing,Right-wing,Communism,Socialism,Democracy,Liberalism,Populism,Conservatism,Nationalism,Anarchism,Capitalism,Fascism
Pretrained,,,,,,,,,,,,,
MPT,7B,0.20,0.31,0.20,0.33,0.31,0.59,0.19,0.52,0.26,0.10,0.35,-0.15
,30B,0.19,0.29,0.12,0.31,0.26,0.59,0.40,0.61,0.25,0.24,0.30,-0.17
Falcon,7B,0.05,0.18,0.16,0.28,0.28,0.40,0.18,0.51,0.23,0.21,0.27,0.11
,40B,0.24,0.18,0.29,0.25,0.30,0.51,0.10,0.50,0.25,0.19,0.28,-0.13
,7B,0.16,0.22,0.17,0.35,0.30,0.35,0.15,0.37,0.18,0.17,0.20,-0.23
LLAMA 1,13B,0.18,0.09,0.26,0.29,0.26,0.53,0.10,0.49,0.20,0.16,0.15,-0.21
,33B,0.22,0.18,0.26,0.27,0.28,0.50,0.06,0.55,0.26,0.09,0.29,-0.26
,65B,0.11,0.20,0.27,0.35,0.31,0.52,0.21,0.59,0.25,0.19,0.33,-0.25
,7B,0.15,0.30,0.12,0.35,0.25,0.43,0.18,0.38,0.16,0.12,0.29,-0.13
LLAMA 2,13B,0.14,0.35,0.23,0.29,0.23,0.57,0.20,0.52,0.22,0.12,0.29,-0.17
,34B,0.12,0.16,0.18,0.36,0.35,0.52,0.10,0.54,0.28,0.11,0.30,-0.19
,70B,0.16,0.21,0.17,0.35,0.30,0.60,0.18,0.67,0.26,0.12,0.30,-0.10
Fine-tuned,,,,,,,,,,,,,
ChatGPT,,0.15,0.22,0.05,0.24,0.31,0.35,0.09,0.42,0.19,0.09,0.23,0.06
MPT-instruct,7B,0.13,0.29,0.12,0.34,0.35,0.53,0.28,0.56,0.27,0.02,0.32,-0.12
Falcon-instruct,7B,0.11,0.21,0.21,0.28,0.34,0.23,0.31,0.45,0.23,0.22,0.29,-0.27
,7B,0.28,0.51,0.29,0.44,0.59,0.75,0.28,0.75,0.55,0.26,0.50,-0.19
LLAMA 2-CHAT,13B,0.35,0.49,0.45,0.49,0.49,0.72,0.30,0.67,0.54,0.36,0.50,0.16
,34B,0.30,0.51,0.36,0.48,0.56,0.76,0.28,0.75,0.53,0.34,0.54,0.02
,70B,0.34,0.56,0.28,0.56,0.64,0.78,0.27,0.76,0.55,0.34,0.57,-0.01
