,,American actors,American actresses,
Pretrained,Pretrained,,,
MPT,7B,0.30,0.43,
MPT,30B,0.29,0.41,
Falcon,7B,0.21,0.33,
Falcon,40B,0.29,0.37,
LLAMA 1,7B,0.31,0.46,
LLAMA 1,13B,0.29,0.43,
LLAMA 1,33B,0.26,0.44,
LLAMA 1,65B,0.30,0.44,
LLAMA 2,7B,0.29,0.42,
LLAMA 2,13B,0.32,0.44,
LLAMA 2,34B,0.25,0.45,
LLAMA 2,70B,0.28,0.44,
Fine-tuned,Fine-tuned,,,
ChatGPT,,0.55,0.65,
MPT-instruct,7B,0.31,0.38,
Falcon-instruct,7B,0.32,0.36,
LLAMA 2-CHAT,LLAMA 2-CHAT,7B,0.48,0.56
LLAMA 2-CHAT,LLAMA 2-CHAT,13B,0.46,0.53
LLAMA 2-CHAT,LLAMA 2-CHAT,34B,0.44,0.47
LLAMA 2-CHAT,LLAMA 2-CHAT,70B,0.44,0.49
