Humanities,STEM,Social Sciences,Other,Average
MPT,7B,26.7,25.3,"27.1,28.2,26.8"
MPT,30B,44.5,39.0,"52.8,52.9,46.9"
Falcon,7B,26.4,26.2,"24.7,27.4,26.2"
Falcon,40B,49.3,45.5,"65.4,65.0,55.4"
LLAMA 1,7B,34.0,30.5,"38.3,38.1,35.1"
LLAMA 1,13B,45.0,35.8,"53.8,53.3,46.9"
LLAMA 1,33B,55.8,46.0,"66.7,63.4,57.8"
LLAMA 1,65B,61.8,51.7,"72.9,67.4,63.4"
LLAMA 2,7B,42.9,36.4,"51.2,52.2,45.3"
LLAMA 2,13B,52.8,44.1,"62.6,61.1,54.8"
LLAMA 2,34B,59.4,52.1,"71.8,69.2,62.6"
LLAMA 2,70B,65.0,58.0,"80.3,74.6,68.9"
