Model,Size,Code,Commonsense Reasoning,World Knowledge,Reading Comprehension,Math,MMLU,BBH,AGI Evaluation
MPT,7B,20.5,57.4,41.0,57.5,4.9,26.8,31.0,23.5
MPT,30B,28.9,64.9,50.0,64.7,9.1,,46.9,33.8
Falcon,7B,5.6,56.1,42.8,36.0,4.6,,28.0,21.2
Falcon,40B,15.2,69.2,56.7,65.7,12.6,,37.1,37.0
LLAMA 1,7B,14.1,60.8,46.2,58.5,6.95,,30.3,23.9
LLAMA 1,13B,18.9,66.1,52.6,62.3,10.9,,37.0,33.9
LLAMA 1,33B,26.0,70.0,58.4,67.6,21.4,,39.8,41.7
LLAMA 1,65B,30.7,70.7,60.5,68.6,30.8,63.4,43.5,47.6
LLAMA 2,7B,16.8,63.9,48.9,61.3,14.6,,32.6,29.3
LLAMA 2,13B,24.5,66.9,55.4,65.8,28.7,,39.4,39.1
LLAMA 2,34B,27.8,69.9,58.7,68.0,24.2,,44.1,43.4
LLAMA 2,70B,37.5,71.9,63.6,69.4,35.2,68.9,51.2,54.2
