```csv
,Africa,AAD,BH,ISIS-DRC,ISIS-GS,ISIS-Mozambique,ISIS-West Africa,JNIM,Ansaru,Al-Murabitoun,AS,AQIM
Ansar al-Dine,,,"",,,"",,"",,"",,
Boko Haram,,,"",,,"",,"",,"",,
ISIS-Democratic Republic of the Congo,,,"",,,"",,"",,"",,
ISIS-in the Greater Sahara,,,"",,,"",,"",,"",,
ISIS-Mozambique,,,"",,,"",,"",,"",,
ISIS-West Africa,,,"",,,"",,"",,"",,
Jama'at Nasr al-Islam wal-Muslimin,,,"",,,"",,"",,"",,
Jama'atu Ansarul Muslimina Fi Biladis-Sudan,,,"",,,"",,"",,"",,
Al-Murabitoun,,,"",,,"",,"",,"",,
Al-Shabaab,,,"",,,"",,"",,"",,
Al-Qa'ida in the Islamic Maghreb,,,"",,,"",,"",,"",,
,East Asia and the Pacific,ASG,AUM,CPP/NPA,ISIS-P,JAT,JI,,,
Abu Sayyaf Group,,,"",,,"",,"",,"",,
Aum Shinrikyo,,,"",,,"",,"",,"",,
Communist Party of Philippines/New People’s Army,,,"",,,"",,"",,"",,
ISIS-Philippines,,,"",,,"",,"",,"",,
Jemaah Anshorut Tauhid,,,"",,,"",,"",,"",,
Jemaah Islamiya,,,"",,,"",,"",,"",,
,Europe,ETA,CIRA,RIRA,DHKP/C,RS,,,
Basque Fatherland and Liberty,,,"",,,"",,"",,"",,
Continuity Irish Republican Army,,,"",,,"",,"",,"",,
Real IRA,,,"",,,"",,"",,"",,
Revolutionary People’s Liberation Party/Front,,,"",,,"",,"",,"",,
Revolutionary Struggle,,,"",,,"",,"",,"",,
,The Middle East and North Africa,AAB,AAMB,AAB,ANF,AQ,AQAP,AAI,AAS-B,AAS-D,AAS-T,AOI,AAH,AAA,IG
Abdallah Azzam Brigades,,,"",,,"",,"",,"",,
Al-Aqsa Martyrs Brigade,,,"",,,"",,"",,"",,
Al-Ashtar Brigades,,,"",,,"",,"",,"",,
Al-Nusrah Front,,,"",,,"",,"",,"",,
Al-Qa'ida,,,"",,,"",,"",,"",,
Al-Qa'ida in the Arabian Peninsula,,,"",,,"",,"",,"",,
Ansar al-Islam,,,"",,,"",,"",,"",,
Ansar al-Shari'a in Benghazi,,,"",,,"",,"",,"",,
Ansar al-Shari'a in Darnah,,,"",,,"",,"",,"",,
Ansar al-Shari'a in Tunisia,,,"",,,"",,"",,"",,
Army of Islam,,,"",,,"",,"",,"",,
Asa'ib Ahl al-Haq,,,"",,,"",,"",,"",,
Asbat al-Ansar,,,"",,,"",,"",,"",,
Gama'a al-Islamiyya,,,"",,,"",,"",,"",,
```
