Model,Yahoo! Ans.,AG News,Yelp P.,Yelp F.,DBpedia
Bag-of-means*,60.55,83.09,87.33,53.54,90.45
Small word CNN*,69.98,89.13,94.46,58.59,98.15
Large word CNN*,70.94,91.45,95.11,59.48,98.28
LSTM*,70.84,86.06,94.74,58.17,98.55
Deep CNN (29 layer)+,73.43,91.27,95.72,64.26,98.71
fastText t,72.0,91.5,93.8,60.4,98.1
fastText (bigram)‡,72.3,92.5,95.7,63.9,98.6
SWEM-aver,73.14,91.71,93.59,60.66,98.42
SWEM-max,72.66,91.79,93.25,59.63,98.24
SWEM-concat,73.53,92.66,93.76,61.11,98.57
SWEM-hier,73.48,92.48,95.81,63.79,98.54
