Model,MR,SST-1,SST-2,Subj,TREC
"RAE (Socher et al., 2011b)",77.7,43.2,82.4,1,1
"MV-RNN (Socher et al., 2012)",79.0,44.4,82.9,1,
"LSTM (Tai et al., 2015)",,46.4,84.9,1,一
"RNN (Zhao et al., 2015)",77.2,1,1,93.7,90.2
"Constituency Tree-LSTM (Tai et al., 2015)",-,51.0,88.0,1,-
"Dynamic CNN (Kalchbrenner et al.,2014)",1,48.5,86.8,1,93.0
"CNN (Kim, 2014)",81.5,48.0,88.1,93.4,93.6
"DAN-ROOT (Iyyer et al.,2015)",-,46.9,85.7,-,-
SWEM-aver,77.6,45.2,83.9,92.5,92.2
SWEM-max,76.9,44.1,83.6,91.2,89.0
SWEM-concat,78.2,46.1,84.3,93.0,91.8
