,Foreign Currency Translation Adjustments,Pension and Postretirement Plan Benefit Adjustments,Pension and Postretirement Plan Benefit Adjustments,Unrealized Gain (Loss) on Available-For- Sale Securities,Unrealized Gain (Loss) on Available-For- Sale Securities,Cash Flow Hedge Adjustments,Cash Flow Hedge Adjustments,Total
"Balance, January 1, 2018","(1,466)",$,(678),$,(1),,$,"(2,145)"
Other comprehensive income (loss) before reclassifications:,,,,,,,,
Decrease,,(632),(45),,(1),,,(678)
Income tax impact,,,9,,,,,9
"Other comprehensive income (loss) before reclassifications, net of income taxes",,(632),(36),,(1),,,(669)
Amounts reclassified from accumulated other comprehensive income (loss):,,,,,,,,
Increase,,,30 (@,,,,,30
Income tax impact Amounts reclassified from accumulated other,,,1,,,,,①
"comprehensive income (loss), net of income taxes",,,23,,,,,23
"Net current period other comprehensive income (loss),net of income taxes",,(632),,,,,,
"Balance, December 31, 2018","(2,098)",,(13） (691),,(1) (2),,,"(646) (2,791)"
Other comprehensive income (loss) before,,,,,,,,
reclassifications: (Decrease) increase,,(178),(149),,2,,(149),(474)
Income tax impact,,6,32,,(1,,9,34
"Other comprehensive income (loss) before reclassifications, net of income taxes",(184),,(117),,1,,(140),(440)
Amounts reclassified from accumulated other comprehensive income (loss):,,,,,,,,
Increase,,109 (c),36 (a),,,,27 (b),172
Income tax impact Amounts reclassified from accumulated other,,,9,,,,,
"comprehensiveincome (loss,net ofome taxes",109,,27,,,,27,163
"Net current period other comprehensive income (loss),net of income taxes",,(75),（90),,1,,(113),(277)
"Balance, December 31, 2019","(2,173)",,(781),,(1),,(113),"(3,068)"
Other comprehensive income (loss) before reclassifications:,,,,,,,,
Increase (decrease),"2,893",,(239),,1,,(432),"2,223"
Income tax impact Other comprehensive income (loss) before,25,,57,,,,,82
"reclassifications, net of income taxes","2,918",,(182),,1,,(432),"2,305"
Amounts reclassified from accumulated other comprehensive income (loss):,,,,,,,,
Increase Income tax impact,,,46 (@),,,,361 (b),407
Amounts reclassified from accumulated other,,,(11),,,,1,(12)
"comprehensive income (loss),netof iome taxes",,,35,,,,360,395
"Net current period other comprehensive income (loss),net of income taxes","2,918",,(147),,,,,"2,700"
"Balance, December 31, 2020",745,$,（928),$,,(72) (185),$,(368)
