"Balance, January 1, 2018",Foreign Currency Translation Adjustments,Pension and Postretirement Plan Benefit Adjustments,Unrealized Gain (Loss) on Available-For-Sale Securities,Cash Flow Hedge Adjustments,Total
"$ (1,466)",$ (678),$ (1),$ —,"$ (2,145)",
Other comprehensive income (loss) before reclassifications:,Decrease,Income tax impact,"Other comprehensive income (loss) before reclassifications, net of income taxes",Income tax impact,"Other comprehensive income (loss) before reclassifications, net of income taxes"
(632),—,9,(669),9,(669)
Amounts reclassified from accumulated other comprehensive income (loss):,Increase,Income tax impact,"Amounts reclassified from accumulated other comprehensive income (loss), net of income taxes",Income tax impact,"Amounts reclassified from accumulated other comprehensive income (loss), net of income taxes"
—,30,—,30,—,30
"Net current period other comprehensive income (loss), net of income taxes",(632),(13),(1),—,(646)
"Balance, December 31, 2018","(2,098)",(691),(2),—,"(2,791)"
Other comprehensive income (loss) before reclassifications:,(Decrease) increase,Income tax impact,"Other comprehensive income (loss) before reclassifications, net of income taxes",Income tax impact,"Other comprehensive income (loss) before reclassifications, net of income taxes"
(178),(6),(474),34,(440),
Amounts reclassified from accumulated other comprehensive income (loss):,Increase,Income tax impact,"Amounts reclassified from accumulated other comprehensive income (loss), net of income taxes",Income tax impact,"Amounts reclassified from accumulated other comprehensive income (loss), net of income taxes"
109,36,172,27,163,
"Net current period other comprehensive income (loss), net of income taxes",(75),(90),1,(113),(277)
"Balance, December 31, 2019","(2,173)",(781),(1),(113),"(3,068)"
Other comprehensive income (loss) before reclassifications:,Increase (decrease),Income tax impact,"Other comprehensive income (loss) before reclassifications, net of income taxes",Income tax impact,"Other comprehensive income (loss) before reclassifications, net of income taxes"
"2,893",25,"2,223",82,"2,305",
Amounts reclassified from accumulated other comprehensive income (loss):,Increase,Income tax impact,"Amounts reclassified from accumulated other comprehensive income (loss), net of income taxes",Income tax impact,"Amounts reclassified from accumulated other comprehensive income (loss), net of income taxes"
—,46,—,361,407,
"Net current period other comprehensive income (loss), net of income taxes","2,918",(147),1,(72),"2,700"
"Balance, December 31, 2020",$ 745,$ (928),$ —,$ (185),$ (368)
