"Outstanding Balance as of December 31, 2020",Stated Annual Interest Rate,Issue Price (as % of Principal Amount),Issue Date,Maturity Date,Interest Payment Dates (in arrears)
24,see below,N/A,"January 22, 2001",January 22,"2021,January 22 and July 22"
290,0.352 %,100 %,"February 28, 2016",March 16,"2021,,,"
305,three-month EURIBOR + 0.3%,100.147 %,"June 30, 2017",June 30,"2022,,,"
698,2.05 %,99.994 %,"November 7, 2019",November 15,"2022,May 15 and November 15"
611,0.5 %,100.924 %,"December 8, 2015",December 8,"2023,December 8"
913,1.7 %,99.931 %,"March 30, 2020",March 30,"2024,,,"
183,1.7 %,100.298 %,"April 8, 2020",March 30,"2024,,,"
697,2.2 %,99.952 %,"November 7, 2019",November 15,"2024,May 15 and November 15"
975,2.5 %,99.878 %,"July 8, 2015",July 8,"2025,July 8"
498,3.35 %,99.857 %,"September 15, 2015",September 15,"2025,,,"
1520,0.2 %,99.833 %,"September 18, 2019",March 18,"2026,,,"
607,2.1 %,99.717 %,"March 30, 2020",September 30,"2026,September 30"
368,2.1 %,100.842 %,"April 8, 2020",September 30,"2026,September 30"
297,0.3 %,100 %,"May 11, 2017",May 11,"2027,May 11 and November 11"
729,1.2 %,99.682 %,"June 30, 2017",June 30,"2027,June 30"
1518,0.45 %,99.751 %,"September 18, 2019",March 18,"2028,,,"
241,1.125 %,102.870 %,"December 8, 2015 and December 8, 2017",December 8,"2028,December 8"
795,2.6 %,99.903 %,"November 7, 2019",November 15,"2029,May 15 and November 15"
606,2.5 %,99.642 %,"March 30, 2020",March 30,"2030,,,"
372,2.5 %,102.166 %,"April 8, 2020",March 30,"2030,,,"
2127,0.75 %,99.920 %,"September 18, 2019",September 18,"2031,September 18"
514,0.65 %,100 %,"May 11, 2017",May 11,"2032,May 11 and November 11"
1511,1.35 %,99.461 %,"September 18, 2019",September 18,"2039,September 18"
889,3.25 %,99.809 %,"November 7, 2019",November 15,"2039,May 15 and November 15"
907,1.8 %,,,,
889,3.4 %,99.756 %,"November 7, 2019",November 15,"2049,May 15 and November 15"
979,2.6 %,98.970 %,"October 6, 2020",October 1,"2050,April 1 and October 1"
611,various,,,,
31,various,,,,
Total debt,"$ 21,204",,,,
