,Year Ended December 31,Quoted Prices in Active Market (Level 1),Significant Other Observable Inputs (Level 2),,Significant Unobservable Inputs (Level 3)
2020:,,,,,
Assets:,,,,,
Available-for-sale debt securities,$,27 $,$,27 $,
Investment in equity securities,,176,6,,
Liabilities:,,,,,
Cross-currency swap derivative contracts,,622,,622,
Deferred compensation plans,,111,,111,
2019:,,,,,
Assets:,,,,,
Available-for-sale debt securities,$,34$,一 $,34$,
Investment in equity securities,,111,,,
Cross-currency swap derivative contracts,,26,,26,
Liabilities:,,,,,
Cross-currency swap derivative contracts,,112,,112,
Deferred compensation plans,,70,,70,
