"Year Ended December 31,2020",2020,2019,2018,Sales:,United States
,,,,,
China,"$2,688","$2,308","$2,170",,
Germany,"$1,238","$1,013","$1,082",,
All other (each country individually less than 5% of total sales),"$9,742","$7,930","$7,663",,
Total,"$22,284","$17,911","$17,049",,
"Property, plant and equipment, net:",,,,,United States
Sweden,$553,,$32,,
United Kingdom,,$163,$157,,
Germany,$214,$207,$163,,
"All other (each country individually less than 5% of total property, plant and equipment, net)",$971,$867,$811,,
Total $,"$3,262","$2,302","$2,250",,
