"Balance, January 1, 2018","(1,466)",$,(678),$,(1),,,
Foreign Currency Translation Adjustments,,-,,-,,,,-
Pension and Postretirement Plan Benefit Adjustments,,(678),,(1),,,,-
Unrealized Gain (Loss) on Available-For-Sale Securities,,,,—,,,,
Cash Flow Hedge Adjustments,,,,,-,(185),$,(368)
Total,,,,,,,,"-2,145"
Other comprehensive income (loss) before reclassifications:,Decrease,,(632),(45),,(1),,
,,,,,,,,-678
Income tax impact,,,9,,,,,9
"Other comprehensive income (loss) before reclassifications, net of income taxes",,(632),(36),,(1),,,-669
Amounts reclassified from accumulated other comprehensive income (loss):,Increase,,30,@,,,,
Income tax impact Amounts reclassified from accumulated other,,,1,,,,,①
"comprehensiveincome (loss,net ofome taxes",,,23,,,,,23
"Net current period other comprehensive income (loss), net of income taxes",,(632),,,,,,-646
"Balance, December 31, 2018","(2,098)",,(691),(781),,(1),(113),"-2,791"
Other comprehensive income (loss) before reclassifications:,Decrease increase,(178),(149),,2,,,
Income tax impact,,6,32,,-,9,,34
"Other comprehensive income (loss) before reclassifications, net of income taxes",,(184),(117),,1,,,-440
Amounts reclassified from accumulated other comprehensive income (loss):,Increase,109 (c),36 (a),,,,,
Income tax impact Amounts reclassified from accumulated other,,,9,,,,,
"comprehensiveincome (loss,net ofome taxes",,,27,,,,,163
"Net current period other comprehensive income (loss), net of income taxes",,(75),(90),,1,,,-277
"Balance, December 31, 2019","(2,173)",,(781),,(1),,(113),"-3,068"
Other comprehensive income (loss) before reclassifications:,Increase decrease,"2,893",(239),,1,,,
Income tax impact Other comprehensive income (loss) before,25,,57,,,,,82
"reclassifications, net of income taxes","2,918",,182,,1,,,"2,305"
Amounts reclassified from accumulated other comprehensive income (loss):,Increase Income tax impact,,46 (@),,,,,
Income tax impact Amounts reclassified from accumulated other,,,(11),,,,,
"comprehensiveincome (loss,net ofome taxes",,,35,,,,,395
"Net current period other comprehensive income (loss), net of income taxes","2,918",,-147,,,,,"2,700"
"Balance, December 31, 2020",745,$,(928),$,,(185),$,-368
