2020 2019 2018,2020 2019 2018,2020 2019 2018,2020 2019 2018
Trade accounts receivable $ 487$,Trade accounts receivable $ 487$,9,$ 41
Inventories 934 9 15,Inventories 934 9 15,Inventories 934 9 15,Inventories 934 9 15
"Property, plant and equipment",690,4,88
Goodwill,"10,402",217,"1,276"
"Other intangible assets, primarily technology, customer relationships andtrade names",,,
"Other intangible assets, primarily technology, customer relationships andtrade names","10,712",113,851
Trade accounts payable,(250),(3),(7)
Pension liabilities,(423),(423),
"Deferred tax liabilities (1,167)","Deferred tax liabilities (1,167)","Deferred tax liabilities (1,167)",(21)
"Other assets and liabilities, net",(414) (18),(414) (18),(46)
Net assets acquired,"20,971",331,"2,197"
Less: noncash consideration,,,(24)
Net cash consideration,$ 20.971,$ 331,"$ 2,173"
