,Quoted Prices in Active Market (Level1),Quoted Prices in Active Market (Level1),Significant Other Observable Inputs (Level 2),Significant Other Observable Inputs (Level 2),Significant Unobservable Inputs (Level 3),Significant Unobservable Inputs (Level 3)
Cash and equivalents,$,68,,$,$,Total 68
Equity securities:,,,,,,
Common stock,,390,,,,390
Preferred stock,,6,,,,6
Fixed income securities:,,,,,,
Corporate bonds,,,,35,,35
Government issued,,,,22,,22
Mutual funds,,287,,132,,419
Insurance contracts,,,,299,,299
Total,$,751$,,488$,,"1,239"
Investments measured at NAV (a):,,,,,,
Common/collective trusts,Common/collective trusts,Common/collective trusts,Common/collective trusts,Common/collective trusts,,"1,071"
"Venture capital, partnerships and other private investments","Venture capital, partnerships and other private investments","Venture capital, partnerships and other private investments","Venture capital, partnerships and other private investments","Venture capital, partnerships and other private investments","Venture capital, partnerships and other private investments",
Total assets at fair value,Total assets at fair value,Total assets at fair value,Total assets at fair value,Total assets at fair value,Total assets at fair value,"694 $ 3,004"
