Options,Weighted Average Exercise Price,Weighted Average Remaining Contractual Term (in years),Aggregate Intrinsic Value
"Outstanding as of January 1, 2018",18.8,59.84,
Granted,4.1,99.51,
Exercised,-3.4,41.88,
Cancelled/forfeited,-0.9,80.14,
"Outstanding as of December 31, 2018",18.6,70.86,
Granted,4.3,117.32,
Exercised,-3.5,53.02,
Cancelled/forfeited,-0.9,98.98,
Adjustment due to Envista Split-Off (a),-1.5,91.65,
"Outstanding as of December 31, 2019",17.0,82.95,
Granted,2.9,160.71,
Exercised,-3.5,62.54,
Cancelled/forfeited,-0.5,113.94,"7,1,931"
"Outstanding as of December 31, 2020 Vested and expected to vest as of December 31,",15.9,100.65,"7,$1,931"
2020 (b),15.4,99.61,"7,$"
"Vested as of December 31, 2020",6.3,74.00,"5,$940"
