"Balance, January 1, 2019",Life Sciences,Diagnostics,Environmental & Applied Solutions,Total
"$ 13,311","$ 6,926","$ 2,344",,"$ 22,581"
Attributable to 2019 acquisitions,213,,3,1
Adjustments due to finalization of purchase price allocations,(7),-,-,-
Foreign currency translation and other,(45),(28),(5),
"Balance, December 31, 2019","13,472","6,901","2,340",
Attributable to 2020 acquisitions,"10,291",-,,111
Attributable to 2020 divestitures,(181),-,-,-
Adjustments due to finalization of purchase price allocations,(3),-,-,-
Foreign currency translation and other,"2,233",181,,75
"Balance, December 31, 2020","$ 25,812","$ 7,082","$ 2,526",
