Sales,2019 2018,2019 2018
Sales,"$ 2,610 $ 2,845","$ 2,610 $ 2,845"
Cost of sales,"(1,177) (1,243)","(1,177) (1,243)"
"Selling, general and administrative expenses","(1,095)","(1,081)"
Research and development expenses,(152) (172),(152) (172)
"Other income (expense), net",2,3
Interest expense,9,(21)
Income from discontinued operations before income taxes,179,331
Gain on disposition of Envista before income taxes,451,二
Earnings from discontinued operations before income taxes,630,331
Income taxes,(41),(86)
"Earnings from discontinued operations, net of income taxes",589,245
Net earnings atributable to noncontrolling interest,(13） 二,(13） 二
Net earnings from discontinued operations attributable to common stockholders,$ 576$,245
