,2020,2019 2018,2019 2018,
RSUs/PSUs:,,2019 2018,2019 2018,
Pretax compensation expense,$ 114$,97$,86,
Income tax benefit,(24),(20),(17),
"RSU/PSU expense, net of income taxes",90,77,69,
Stock options:,,,,
Pretax compensation expense,73,62,52,
Income tax benefit,(15),(13),(11),
"Stock option expense, net of income taxes",58,49,41,
Total stock-based compensation:,,,,
Pretax compensation expense,187,159,138,
Income tax benefit,(39),(33),(28),
"Total stock-based compensation expense, net of income taxes",$ 148$,126$,110,
