"Taxes, income and other",Deferred revenue,Sales and product allowances,Operating lease liabilities,Cross-currency swap derivative liabilities,Other
2020 Current,"1,962","1,282",,,
2020 Noncurrent,"5,629","4,421",,,
2019 Current,931,223,,,
2019 Noncurrent,151,898,,,
Compensation and benefits,"1,393 $",178,$ 931 $,223,
Pension and postretirement benefits,69,"1,502","151,898",,
"Taxes, income and other",552,"4,951",356,"3,309",
Deferred revenue,"1,212",205,688,118,
Sales and product allowances,200,2,115,2,
Operating lease liabilities,189,785,158,639,
Cross-currency swap derivative liabilities,622,,112,,
Other,"1,105",166,694,162,
