Sales,$,2610,$,2845
Cost of sales,"$(1,177)","(1,243)",,
Selling, general and administrative expenses,"$(1,095)","(1,081)",
Research and development expenses,$(152),(172),,
Other income (expense), net,2,3,
Interest expense,$(9),(21),,
Income from discontinued operations before income taxes,179,331,,
Gain on disposition of Envista before income taxes,451,,,
Earnings from discontinued operations before income taxes,630,331,,
Income taxes,$(41),(86),,
Earnings from discontinued operations, net of income taxes,589,245,
Net earnings attributable to noncontrolling interest,$(13),,,
Net earnings from discontinued operations attributable to common stockholders,$576,$245,,
