,IDT,IDT,Others,Total
Trade accounts receivable,$ 36 $,$ 36 $,5$,41
Inventories,15,15,,15
"Property, plant and equipment",88,88,,88
Goodwill,"1,213","1,213",63,"1,276"
"Other intangible assets, primarily technology, customer relationships and trade names",811,,,851
Trade accounts payable,(6,,40 (1),(7)
Deferred tax liabilities,(21),,,(21)
"Other assets and liabilities, net",,(34）,(12),(46)
Net assets acquired,"2,102",,95,"2,197"
Less: noncash consideration,,(24),一,(24)
Net cash consideration,$,"2,078 $",95$,"2,173"
