Exhibit Number,Description,Description
2.1,"Equity and Asset Purchase Agreement dated as of February 25,2019,by and between General Electric Company and Danaher Corporation+","Incorporated by reference from Exhibit 2.1 to Danaher Corporation's Current Report on Form 8-K filedFebruary 25,2019"
2.2,"FirstAmended and RestatedEquityand Asset PurchaseAgreementdatedasofMarch31,2020,by and between General Electric Company and Danaher Corporation+","Incorporated by reference from Exhibit 2.1 to Danaher Corporation's Current Report on Form 8-K filed on April 1,2020"
3.1,Restated Certificate of Incorporation of Danaher Corporation,"Incorporated by reference from Exhibit 3.1 to Danaher Corporation's Quarterly Report on Form 10-Q for the quarter ended June 29,2012"
3.2,"Certificate ofDesignations of the 4.75% Mandatory Convertible Preferred Stock,Series A","Incorporated by reference from Exhibit 3.1_to Danaher Corporation's Current Report on Form 8-K filedMarch1,2019"
3.3,"Certificate of Designations of the 5.0o% Mandatory Convertible Preferred Stock,Series B","Incorporated by reference from Exhibit 3.1 to Danaher Corporation's Current Report on Form 8-K filedMay12,2020"
3.4,Amended and Restated By-laws of Danaher Corporation,"Incorporated byreference fromExhibit3.2 to Danaher Corporation's Current Report on Form 8-K filedDecember 6,2016"
4.1,"Senior Indenture dated as of December 11,2007 by and between Danaher Corporation and The Bank of New York Mellon Trust Company,N.A.as trustee (""Senior Indenture"")","Incorporated by reference from Exhibit 1.2 to Danaher Corporation's Current Report on Form 8-K filed on December 11,2007"
4.2,"First Supplemental Indenture to Senior Indenture, dated as of September 15,2015,by and between Danaher Corporation and The Bank ofNew York Mellon Trust Company. N.A. as trustee","Incorporated by reference from Exhibit 4.1 to Danaher Corporation's Current Report on Form 8-K filedSeptember15,2015"
4.3,"Indenture dated as of July 8,2015,by and between Danaher Corporation,as guarantor,DH Europe FinanceS.a.r.l.,asissuer,andTheBank ofNew YorkMellon TrustCompany,N.A.astrustee","Incorporated by reference from Exhibit 4.1 to Danaher Corporation's Current Report on Form 8-K filed onJuly8,2015"
4.4,"(""Danaher International Indenture"") First Supplemental Indenture to Danaher International Indenture,dated as of July 8,2015,by and between Danaher Corporation,as guarantor, DH Europe Finance S.A.,asissuer,and The Bank of","Incorporated by reference from Exhibit 4.2 to Danaher Corporation's Current Report on Form 8-K filed onJuly8,2015"
4.5,"New York Mellon Trust Company,N.A. as trustee Paying and Calculation Agency Agreement, dated as of July 8.2015,by and among Danaher International,Danaher Corporation,and The Bank of New York Mellon,London Branch,as paying and","Incorporated by reference from Exhibit 4.3_to Danaher Corporation's Current Report on Form 8-K filed on July8,2015"
4.6,"calculation agent Second Supplemental Indenture to Danaher International Indenture, dated as of June 30.2017. byandbetween Danaher Corporation,as guarantor DHEurope Finance S.a.r.l.,asissuer,and TheBank of New York Mellon Trust Company,N.A. as trustee","Incorporated by reference from Exhibit 4.2 to Danaher Corporation's Current Report on Form 8-K filed on June 30,2017"
4.7,"Paying and Calculation Agency Agreement, dated as of June 30, 2017,by and among Danaher International,Danaher Corporation, The Bank of New York Mellon Trust Company,N.A.as trustee and The Bank of New York Mellon,London Branch,","Incorporated by reference from Exhibit 4.3 to Danaher Corporation's Current Report on Form 8-K filed on June 30,2017"
4.8,"as paying and calculation agent Second Supplemental Indenture to Senior Indenture, dated as of July 1,2019 between Danaher Corporation and The Bank of New York Mellon Trust Company,N.A.,as trustee","Incorporated by reference from Exhibit 4.2 to Danaher Corporation's Post-Effective Amendment No.1 to Registration Statement on Form S-3 filed July10,2019"
4.9,"Third Supplemental Indenture to Senior Indenture, dated as ofMarch30,2020betweenDanaher Corporation and The Bank of New York Mellon Trust Company,N.A.,as trustee","Incorporated by reference from Exhibit 4.3 to Danaher Corporation's Current Report on Form 8-K filed on March 30,2020"
4.10,"Fourth Supplemental Indenture to Senior Indenture, dated as of October6,2020 between Danaher Corporation and The Bank of New York Mellon Trust Company,N.A.,as trustee","Incorporated by reference from Exhibit 4.4 to Danaher Corporation's Current Report on Form 8-K filed on October 6,2020"
4.11,"Third Supplemental Indenture to Danaher International Indenture, dated as of July 1,2019 among DH Europe Finance S.a r.l.,as issuer, Danaher Corporation, as guarantor and The Bank of New York Mellon Trust Company,N.A.,as trustee","Incorporated by reference from Exhibit 4.5 to Danaher Corporation's Post-Effective Amendment No.1 to Registration Statement on Form S-3 filed July 10,2019"
4.12,"Base Indenture, dated as of September 18,2019, among DH Europe Finance II S.a r.l.,as issuer, Danaher Corporation, as guarantor and The Bank of New York Mellon Trust Company,N.A.,as trustee (""Danaher International II Indenture"")","Incorporated by reference from Exhibit 4.1 to Danaher Corporation's Current Report on Form 8-K filed September 18,2019"
4.13,"First Supplemental Indenture to Danaher International II Indenture, dated as of September 18, 2019,among DH Europe Finance II S.a r.l., as issuer,Danaher Corporation,as guarantor and The Bank of New York Mellon Trust Company, N.A., as trustee","Incorporated by reference from Exhibit 4.2 to Danaher Corporation's Current Report on Form 8-K filed September 18,2019"
4.14,"Specimen Certificate of the 4.75% Mandatory Convertible Preferred Stock, Series A",Included in Exhibit 3.2 above
4.15,"Specimen Certificate of the 5.00% Mandatory Convertible Preferred Stock, SeriesB",Included in Exhibit 3.3 above
4.16,Description of Securities Registered Under Section 12 of the Exchange Act,Incorporated by reference from Exhibit 10.1 to
10.1,"Danaher Corporation 2007 Omnibus Incentive Plan, as amended and restated*","Danaher Corporation's Quarterly Report on Form 10-Q for the quarter ended June 30,2017"
10.2,"Danaher Corporation Non-Employee Directors’ Deferred Compensation Plan, as amended,a sub- plan under the 2007 Omnibus Incentive Plan*","Incorporated by reference from Exhibit 10.2 to Danaher Corporation's Annual Report on Form 10- K for the year ended December 31, 2008 Incorporated by reference from Exhibit 10.3 to"
10.3,Amended Form of Election to Defer under the Danaher Corporation Non-Employee Directors' Deferred Compensation Plan*,"Danaher Corporation's Annual Report on Form 10- K for the year ended December 31, 2008"
10.4,Form of Danaher Corporation 2007 Omnibus Incentive Plan Stock Option Agreement for Non- Employee Directors*,
10.5,Form of Danaher Corporation 2007 Omnibus Incentive Plan RSU Agreement for Non-Employee Directors*,
10.6,Form of Danaher Corporation 2007 Omnibus Incentive Plan Stock Option Agreement*,
10.7,Form of Danaher Corporation 2007 Omnibus Incentive Plan RSU Agreement*,
10.8,Form of Danaher Corporation 2007 Omnibus Incentive Plan PSU Agreement*,
