Life,Life,Environmental & Applied Diagnostics Solutions,Environmental & Applied Diagnostics Solutions,Total,Total
"Balance, January 1, 2019","Sciences $ 13,311","$ 6,926",$,"2,344$","22,581"
Attributable to 2019 acquisitions,213,,3,1,217
Adjustments due to finalization of purchase price allocations,,,,,
Foreign currency translation and other,,(7) (45),(28),(5,(7) (78)
"Balance, December 31, 2019","13,472",,"6,901","2,340","22,713"
Attributable to 2020 acquisitions,"10,291",,,111,"10,402"
Attributable to 2020 divestitures,(181),,,,(181)
Adjustments due to finalization of purchase price,,,,,
allocations Foreign currency translation and other,"2,233",(3),,,(3)
"Balance, December 31, 2020",$,"25,812$","181 7,082$",75 2.526$,"2,489 35,420"
