Year,2020,2019
"Euro-denominated commercial paper (€500 million and €4.6 billion, respectively)",$,"5,146"
Zero-coupon LYONs due 2021,24,34
0.352% senior unsecured notes due 2021 (¥30.0 billion aggregate principal amount) (the “2021 Yen Notes”),290,276
1.7% senior unsecured notes due 2022 (€800 million aggregate principal amount) (the “2022 Euronotes”),,895
Floating rate senior unsecured notes due 2022 (€250 million aggregate principal amount) (the “Floating Rate 2022 Euronotes”),305,280
2.05% senior unsecured notes due 2022 (the “2022 Biopharma Notes”),698,697
0.5% senior unsecured bonds due 2023 (CHF 540 million aggregate principal amount) (the “2023 CHF Bonds”),611,559
1.7% senior unsecured notes due 2024 (€900 million aggregate principal amount) (the “2024 Euronotes”),"1,096",
2.2% senior unsecured notes due 2024 (the “2024 Biopharma Notes”),697,696
2.5% senior unsecured notes due 2025 (€800 million aggregate principal amount) (the “2025 Euronotes”),975,894
3.35% senior unsecured notes due 2025 (the “2025 U.S. Notes”),498,497
0.2% senior unsecured notes due 2026 (€1.3 billion aggregate principal amount) (the “2026 Biopharma Euronotes”),"1,520","1,392"
2.1% senior unsecured notes due 2026 (€800 million aggregate principal amount) (the “2026 Euronotes”),975,
0.3% senior unsecured notes due 2027 (¥30.8 billion aggregate principal amount) (the “2027 Yen Notes”),297,283
1.2% senior unsecured notes due 2027 (€600 million aggregate principal amount) (the “2027 Euronotes”),729,668
0.45% senior unsecured notes due 2028 (€1.3 billion aggregate principal amount)(the “2028 Biopharma Euronotes”),"1,518","1,390"
1.125% senior unsecured bonds due 2028 (CHF 210 million aggregate principal amount) (the “2028 CHF Bonds”),241,221
2.6% senior unsecured notes due 2029 (the “2029 Biopharma Notes”),795,795
2.5% senior unsecured notes due 2030 (€800 million aggregate principal amount)(the “2030 Euronotes”),978,
0.75% senior unsecured notes due 2031 (€1.8 billion aggregate principal amount) (the “2031 Biopharma Euronotes”),"2,127","1,949"
0.65% senior unsecured notes due 2032 (¥53.2 billion aggregate principal amount) (the “2032 Yen Notes”),514,488
"1.35% senior unsecured notes due 2039 (€1.3 billion aggregate principal amount) (the “2039 Biopharma Euronotes,”)","1,511","1,384"
3.25% senior unsecured notes due 2039 (the “2039 Biopharma Notes”),889,890
4.375% senior unsecured notes due 2045 (the “2045 U.S. Notes”),499,499
1.8% senior unsecured notes due 2049 (€750 million aggregate principal amount) (the “2049 Biopharma Euronotes”),907,831
3.4% senior unsecured notes due 2049 (the “2049 Biopharma Notes”),889,890
2.6% senior unsecured notes due 2050 (the “2050 U.S. Notes”),979,
Other,31,75
Total debt,"21,204","21,729"
Less: currently payable,11,212
Long-term debt,"$ 21,193$","21,517"
