$ in millions,Life Sciences,Diagnostics,EAS,Other,Total Danaher
Net Earnings from Continuing Operations (GAAP),3646,,,,
"Interest, net",204,,,,
Other Nonoperating (Income) Expense,,,-468,,
Income Taxes,849,,,,
Operating Profit (GAAP),2054,1538,979,-340,4231
Operating Profit Adjustments,509,5,17,59,590
Depreciation,183,397,47,10,637
Amortization,870,205,63,,-1138
Adjusted EBITDA (Non-GAAP),3616,2145,1106,-271,6596
"Interest, net",,-204,,,
Other Nonoperating (Income) Expense,,-468,,,
Income Taxes,,-849,,,
Operating Profit Adjustments,,-590,,,
Depreciation,,-637,,,
Amortization,,-1138,,,
Net Income from Continuing Operations (GAAP),3646,,,,
Net Sales,10576,7403,4305,22284,
Adjusted EBITDA Margin (Non-GAAP),34.2%,29.0%,25.7%,29.6%,
