,Life Sciences,,Diagnostics,&Applied Solutions,,Total
"Year ended December 31, 2020:","Year ended December 31, 2020:","Year ended December 31, 2020:","Year ended December 31, 2020:","Year ended December 31, 2020:","Year ended December 31, 2020:","Year ended December 31, 2020:"
Geographical region:,Geographical region:,Geographical region:,Geographical region:,Geographical region:,Geographical region:,Geographical region:
North America,,"3,919 $","3,182 $",,"1,910 $","9,011"
Western Europe,,"2,939","1,375",,"1,009","5,323"
Other developed markets,,754,423,,122,"1,299"
High-growth markets,,"2,964","2,423",,"1,264","6,651"
Total,,"10,576 $","7,403",S,"4,305S","22,284"
Revenue type:,,,,,,
Recurring,,"7,400$",,"6,143$","2,435$","15,978"
Nonrecurring,,"3,176","1,260",,"1,870","6,306"
Total,,10.576S,"7,403",s,4.305S,"22,284"
"Year ended December 31,2019:","Year ended December 31,2019:","Year ended December 31,2019:","Year ended December 31,2019:","Year ended December 31,2019:","Year ended December 31,2019:","Year ended December 31,2019:"
Geographical region: North America,,,,,,
Western Europe,,"2,596$","2,531",$,"1,885$","7,012 4,057"
Other developed markets,,"1,876 585","1,132",,"1,049 125",
,,,402,,,"1,112"
High-growth markets,,"1,894","2,496",,"1,340","5,730"
Total,,6951 $,6561,S,4.399,17.911
Revenue type: Recurring,$,,,,,$
Nonrecurring,,"4,411 $","5,524",$,"2,372","12,307 5,604"
Total,,"2,540","1,037",,2.027,"17,911"
,,"6,951 $",6.561,$,"4,399",
"Year ended December 31, 2018:","Year ended December 31, 2018:","Year ended December 31, 2018:","Year ended December 31, 2018:","Year ended December 31, 2018:","Year ended December 31, 2018:","Year ended December 31, 2018:"
Geographical region:,Geographical region:,Geographical region:,Geographical region:,Geographical region:,Geographical region:,Geographical region:
North America,$,,,,,"6,470"
Western Europe,,"2,295 $",,"2,404 $","1,771 $ 1,059","4,061"
Other developed markets,,"1,847","1,155",,126,"1,075"
High-growth markets,,570,379,,"1,364","5,443"
Total,,"1,759 $","2,320 6.258",$,"4,320",17.049
,,"6,471",,,,$
Revenue type:,Revenue type:,Revenue type:,Revenue type:,Revenue type:,Revenue type:,Revenue type:
Recurring,$,,,"5,272 $","2,280$","11,684"
Nonrecurring,,"4,132$ 2,339",986,,2.040,"5,365"
Total,$,6.471$,,"6,258$","4,320$","17,049"
