Title of each class,Trading Symbol(s),Nameofeachexchangeonwhichregist
"Common stock, $0.01 par value 4.75% Mandatory Convertible Preferred Stock,",DHR,New York Stock Exchange
"Series A,without par value 5.00% Mandatory Convertible Preferred Stock,",DHR.PRA,New York Stock Exchange
"Series B,without par value",DHR.PRB,New York Stock Exchange
Floating Rate SeniorNotes due 2022,DHR/22A,New York Stock Exchange
1.700% Senior Notes due 2024,DHR 24,New York Stock Exchange
2.500% Senior Notes due 2025,DHR/25,New York Stock Exchange
0.200% Senior Notes due 2026,DHR/26,New York Stock Exchange
2.100% SeniorNotes due 2026,DHR 26,New York Stock Exchange
1.200% Senior Notes due 2027,DHR/27,New York Stock Exchange
0.450% Senior Notes due 2028,DHR/28,New York Stock Exchange
2.500% Senior Notes due 2030,DHR 30,New York Stock Exchange
0.750% Senior Notes due 2031,DHR/31,New York Stock Exchange
1.350% Senior Notes due 2039,DHR/39,New York Stock Exchange
1.800% Senior Notes due 2049,DHR/49,New York Stock Exchange
