,2020,2019,2018
Numerator:,,,
Net earnings from continuing operations,"$ 3,646$","2,432$","2,406"
MCPS dividends,(136),(68),
Net earnings from continuing operations attributable to commonstockholders for Basic EPS,,,
Net earnings from continuing operations attributable to commonstockholders for Basic EPS,"3,510","2,364","2,406"
Adjustment for interest on convertible debentures,1,2,2
Net earnings from continuing operations attributable to commonstockholders after assumed conversions for Diluted EPS,"$ 3,511",,
Net earnings from continuing operations attributable to commonstockholders after assumed conversions for Diluted EPS,"$ 3,511","$ 2,366","$ 2,408"
Denominator:,,,
Weighted average common shares outstanding used in Basic EPS,706.2,715.0,700.6
Incremental common shares from:,,,
Assumed exercise of dilutive options and vesting of dilutive RSUs andPSUs,,,
Assumed exercise of dilutive options and vesting of dilutive RSUs andPSUs,11.4,8.9,7.2
Assumed conversion of the convertible debentures,1.1,1.6,2.4
Weighted average common shares outstanding used in Diluted EPS,718.7,725.5,710.2
Basic EPS from continuing operations,$ 4.97 $,3.31 $,3.43
Diluted EPS from continuing operations,$ 4.89$,3.26$,3.39
